Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,xG,xA,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
48,Derik Lacerda,Cuiabá,Cuiabá,"LW, CF, RW",LW,10,25,500000,2028-12-31,21,1166,Brazil,Brazil,right,191,78,no,4.71,2.623821,2.23722,1.0808,5.015,0.12,0.11,BRA1,Testing,2024,0.2350723787665037,0.2267150927980414,0.2308937357822726
49,Zé Hugo,Vitória,Vitória,"RW, LW",RW,10,25,400000,2024-12-31,23,748,Brazil,Brazil,right,178,70,no,7.1,4.092770000000001,2.525984,2.6481,6.135056,0.18,0.19,BRA1,Testing,2024,0.5466320821343987,0.5611229287448134,0.5538775054396061
50,T. Cuello,Athletico Paranaense,Athletico Paranaense,"LAMF, RW, LW",LAMF,10,24,3000000,2025-12-31,24,1468,Argentina,Argentina,right,178,64,no,6.5,3.676101,5.642579999999999,5.763954,6.98861,0.1,0.21,BRA1,Testing,2024,0.958700499377344,0.9373260784580346,0.9480132889176893
51,Helinho,Red Bull Bragantino,Red Bull Bragantino,"RW, RAMF, RWF",RW,10,24,7000000,2028-12-31,17,1218,Brazil,Brazil,left,175,66,no,5.32,1.848054,5.169937999999999,4.064367000000001,4.729963,0.15,0.11,BRA1,Testing,2024,0.6074469887197304,0.5720584988542284,0.5897527437869794
52,Rodrigo Nestor,São Paulo,São Paulo,"LAMF, LCMF, LW",LAMF,10,24,9000000,2028-06-30,21,990,Brazil,Brazil,right,175,65,no,5.0,2.4525,6.457815,3.453596,1.81704,0.09,0.09,BRA1,Testing,2024,0.5752291881899773,0.5594565957731104,0.5673428919815438
53,E. Rodríguez,Vasco da Gama,Vasco da Gama,"LAMF, RAMF",LAMF,10,24,2000000,2025-12-31,11,649,Colombia,Colombia,right,174,68,yes,7.21,4.717278,3.047841,1.802736,4.436574,0.08,0.07,BRA1,Testing,2024,0.4207905371770164,0.4421627010492875,0.4314766191131519
54,Adson,Vasco da Gama,Vasco da Gama,"RAMF, RW, LAMF",RAMF,10,23,4500000,2027-12-31,20,1356,Brazil,Brazil,left,171,64,no,5.31,2.588142,7.435768,3.451488,3.651353,0.13,0.14,BRA1,Testing,2024,0.6554983800369638,0.6464199355043201,0.650959157770642
55,Luiz Henrique,Botafogo,Botafogo,"RAMF, RW",RAMF,10,23,12000000,2028-12-31,29,2283,Brazil,Brazil,left,182,77,no,6.39,3.231368000000001,3.155294,2.641443000000001,5.950559999999999,0.21,0.12,BRA1,Testing,2024,0.4954288088447416,0.5196048508642573,0.5075168298544994
56,Julimar,Athletico Paranaense,Athletico Paranaense,"LW, LAMF, RAMF",LW,10,23,400000,2026-12-31,27,1559,Brazil,Brazil,right,182,82,no,6.41,3.232584,3.172372,2.138411,4.271265,0.27,0.09,BRA1,Testing,2024,0.4021464995092658,0.4340653658589778,0.4181059326841218
57,Lucas Barbosa,Juventude,Juventude,"RAMF, RW",RAMF,10,23,2000000,2026-07-31,26,2114,Brazil,Brazil,left,194,84,yes,9.03,4.088097,3.5738,3.0246,2.980182,0.16,0.06,BRA1,Testing,2024,0.6344269554116003,0.6475402867929062,0.6409836211022533
58,Biel,Bahia,Bahia,"LW, LWF, CF",LW,10,23,4000000,2029-12-31,21,858,Brazil,Brazil,right,170,62,no,4.41,1.575,3.777138,2.726803,3.673422,0.4,0.35,BRA1,Testing,2024,0.3076448959746712,0.3678960092332045,0.3377704526039378
59,Gabriel Carvalho,Internacional,Internacional,"RAMF, RW",RAMF,10,17,0,,16,1181,Brazil,Brazil,right,168,67,no,7.16,3.655896,6.481006,4.345286,3.81195,0.14,0.2,BRA1,Testing,2024,0.7837688536447439,0.7987362010979246,0.7912525273713342
60,Estevão,Palmeiras,Palmeiras,"RAMF, RW",RAMF,10,17,0,,25,1744,Brazil,Brazil,left,170,62,no,4.9,3.150548,4.438462,3.356808,6.914263999999999,0.38,0.24,BRA1,Testing,2024,0.6667082167354825,0.6659450055763783,0.6663266111559304
61,Rayan,Vasco da Gama U20,Vasco da Gama,"RAMF, RW, RWF",RAMF,10,18,0,,18,728,Brazil,Brazil,left,185,75,no,4.82,2.8413,2.598,2.347956,3.212956,0.21,0.12,BRA1,Testing,2024,0.3344498848828771,0.3254590998847989,0.329954492383838
62,Gustavo Nunes,Grêmio,Grêmio,"LW, LAMF",LW,10,18,0,,20,1382,Brazil,Brazil,right,173,69,no,3.91,2.28,4.750848,3.7088,5.667396,0.12,0.07,BRA1,Testing,2024,0.5086880681574101,0.5123728656157259,0.510530466886568
63,Matheus Gonçalves,Flamengo U20,Flamengo,"RAMF, LAMF, LW",RAMF,10,19,0,,9,502,Brazil,Brazil,left,175,66,no,7.17,3.58802,7.889301000000001,6.995214,6.992970000000001,0.13,0.17,BRA1,Testing,2024,0.9835726782033238,0.9806440838357631,0.9821083810195435
64,Gustavo Prado,Internacional,Internacional,"LAMF, LW, RW",LAMF,10,19,0,,25,731,Brazil,Brazil,right,179,70,no,6.4,4.802458000000001,3.939494,3.327432,5.663240000000001,0.24,0.12,BRA1,Testing,2024,0.7213214626569782,0.7298459992186652,0.7255837309378217
65,Wesley,Al Nassr,Corinthians,"LAMF, LW, LWF",LAMF,10,19,0,,23,1638,Brazil,Brazil,right,180,71,no,4.12,1.867362,2.584922999999999,3.189846000000001,7.088932,0.1,0.09,BRA1,Testing,2024,0.3804919157092093,0.3853726229627913,0.3829322693360003
66,Nathan Fernandes,Grêmio,Grêmio,"RW, RAMF, LW",RW,10,19,0,,17,599,Brazil,Brazil,right,176,71,no,6.16,3.9065,2.857022,2.10006,6.46191,0.2,0.01,BRA1,Testing,2024,0.3579022248605437,0.3906945894460148,0.3742984071532792
67,Marquinhos,Fluminense,Fluminense,"RAMF, RB",RAMF,10,21,7000000,2027-06-30,17,1364,Brazil,Brazil,left,175,67,yes,6.2,3.296382,4.22158,3.169504,6.137505,0.09,0.14,BRA1,Testing,2024,0.6087311416709253,0.6108768880495691,0.6098040148602473
68,Eliel,Cuiabá,Cuiabá,"LW, LAMF, RAMF",LW,10,21,0,,20,521,Brazil,Brazil,right,175,73,no,4.49,1.382084,1.383564,1.38,3.1095,0.2,0.0,BRA1,Testing,2024,0.0,0.0,0.0
69,Marcelinho,Juventude,Juventude,"LAMF, RW, RAMF",LAMF,10,21,400000,2024-12-31,22,1124,Brazil,Brazil,right,165,69,yes,4.56,2.320032,3.520224,2.239912,4.644274999999999,0.14,0.08,BRA1,Testing,2024,0.316036728153193,0.3164587003018165,0.3162477142275048
70,A. Aravena,Grêmio,Grêmio,"LW, LAMF, RW",LW,10,22,5000000,2028-12-31,11,514,Chile,Chile,right,175,70,no,3.85,2.627988,1.39993,1.403689,4.902063999999999,0.17,0.25,BRA1,Testing,2024,0.2295006333537544,0.2457876018206139,0.2376441175871841
71,Gabriel Veron,Cruzeiro,Cruzeiro,"RWF, AMF",RWF,11,22,7000000,2027-06-30,21,1273,Brazil,Brazil,right,176,75,yes,5.02,2.613485,2.75637,2.046642,1.273192,0.27,0.08,BRA1,Testing,2024,0.2147553750079451,0.2261785677479404,0.2204669713779427
72,Lázaro,Palmeiras,Palmeiras,"LAMF, LWF, LWB",LAMF,10,22,3500000,2028-06-30,17,870,Brazil,Brazil,right,181,69,yes,3.83,1.963416,4.450707,3.409937999999999,4.034745,0.25,0.09,BRA1,Testing,2024,0.4276854490634537,0.4272961520499334,0.4274908005566936
73,H. Mosquera,Red Bull Bragantino,Red Bull Bragantino,"LW, CF, LAMF",LW,10,22,0,,29,1989,Colombia,Colombia,right,175,68,no,4.98,3.123954,2.531004,1.8532,6.378086000000001,0.13,0.05,BRA1,Testing,2024,0.3131270772156672,0.3332319576798232,0.3231795174477452
74,T. Almada,Botafogo,Botafogo,"LAMF, AMF, LWF",LAMF,10,23,27000000,2029-06-30,10,802,Argentina,"Argentina, Italy",right,171,62,no,3.82,1.682098,11.10762,6.2825,3.926124999999999,0.22,0.1,BRA1,Testing,2024,1.0,1.0,1.0
