Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Longos_Certos,Passes_Progressivos_Certos,Passes_Laterais_Certos,Ações_Ofensivas_BemSucedidas,Duelos_Ofensivos_Ganhos,Pisadas_Área,Dribles_BemSucedidos,Corridas_Progressivas,Acelerações,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Deep_Completions,Deep_Completed_Crosses,Passes_ÁreaPênalti_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
10,N. Ferraresi,São Paulo,São Paulo,"RB, RCB",RB,1,25,3500000,2027-12-31,11,815,Venezuela,"Venezuela, Italy",right,190,80,no,9.28,4.74957,1.875528,3.2045,8.06024,18.1068,1.99,1.656774,1.33,0.88,1.21,0.22,0.0,0.11,4.968544000000001,0.33,0.55,1.107165,BRA1,Testing,2024,0.7487461600220471,0.6971552603553096,0.7229507101886783
11,Bruno Tubarão,Atlético GO,Atlético GO,RB,RB,1,29,500000,2024-12-31,12,828,Brazil,Brazil,right,180,70,no,7.17,3.69306,1.5232,1.739143,5.868,10.328656,3.26,2.065,0.22,1.4144,2.83,0.33,0.06,0.76,4.565686,0.11,1.63,1.52082,BRA1,Testing,2024,0.5108939569711799,0.5203985616303678,0.5156462593007738
12,Railan,Cuiabá,Cuiabá,RB,RB,1,24,150000,2027-12-31,15,847,Brazil,Brazil,right,185,75,no,8.82,4.354504,1.38142,1.49,6.591233,9.028593,3.08,3.71781,0.64,1.699236,2.02,0.74,0.07,0.43,4.464572,0.43,0.96,1.17,BRA1,Testing,2024,0.5983312594406696,0.5692498781603567,0.5837905688005132
13,Vanderlan,Palmeiras,Palmeiras,"LB, LWB",LB,1,22,4000000,2027-12-31,16,849,Brazil,Brazil,left,184,74,no,8.9,5.297372999999999,1.06,0.6375,3.923322,6.466,2.01,1.166053,1.06,0.7420530000000001,1.38,0.21,0.17,0.74,1.697508,0.32,1.27,1.59,BRA1,Testing,2024,0.3484418105291804,0.3472845653110738,0.347863187920127
14,Marçal,Botafogo,Botafogo,LB,LB,1,35,600000,2024-12-31,12,850,Brazil,Brazil,left,178,72,no,10.8,4.338954999999999,2.327178,3.176214,6.885852000000001,9.849966,1.06,1.48248,0.53,0.421776,0.53,0.32,0.08,0.95,3.60018,0.32,0.53,0.741406,BRA1,Testing,2024,0.4014423921300179,0.3608518935343543,0.3811471428321861
15,Marcelo,Fluminense,Fluminense,LB,LB,1,36,1300000,2024-12-31,12,872,Brazil,"Brazil, Spain",left,174,75,no,7.64,3.302692,0.310878,2.785,7.640382000000001,10.83471,3.92,2.78806,0.93,2.27323,1.75,0.0,0.09,1.03,5.368492,0.52,1.03,1.34323,BRA1,Testing,2024,0.7463225737758485,0.7524873010591685,0.7494049374175085
16,A. Bernabéi,Internacional,Internacional,LB,LB,1,23,2000000,2027-05-31,9,917,Argentina,"Argentina, Italy",left,169,65,yes,10.11,4.21724,1.18,1.768196,6.379695000000001,8.240400000000001,4.12,2.94635,1.96,2.063685,1.77,0.39,0.17,1.08,4.223931,0.88,1.57,1.473175,BRA1,Testing,2024,0.7078661882577786,0.7251195094846378,0.7164928488712081
17,Kaiki,Cruzeiro,Cruzeiro,LB,LB,1,21,0,,12,930,Brazil,Brazil,left,172,69,no,11.61,7.255272000000001,1.549094,0.6783840000000001,3.288747,7.5483,2.32,3.677856,1.16,1.84078,2.9,0.58,0.08,0.48,2.9025,0.48,0.58,0.676599,BRA1,Testing,2024,0.3637775059963075,0.3456929306780322,0.3547352183371698
18,M. Ponte,Botafogo,Botafogo,RB,RB,1,21,1500000,2026-12-31,12,944,Uruguay,Uruguay,right,183,77,no,8.2,4.864272,1.237788,1.3328,5.52972,9.441476999999999,2.76,2.0034,1.53,1.430712,1.05,0.1,0.03,0.48,2.762,0.67,1.24,1.525638,BRA1,Testing,2024,0.5761546691632029,0.5445169345178716,0.5603358018405373
19,F. Bustos,River Plate,Internacional,RB,RB,1,28,7000000,2027-12-31,11,966,Argentina,Argentina,right,167,66,no,13.6,6.7104,0.931725,2.982708,7.918372,14.345016,2.24,2.145,1.21,0.9332960000000001,1.12,0.09,0.09,0.84,3.632325,0.75,1.12,1.76813,BRA1,Testing,2024,0.9204843937547362,0.90528586297717,0.9128851283659531
