Unnamed: 0,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,xG,xA,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Duelos_Defensivos_Ganhos_LM,Passes_Frontais_Certos_LM,Passes_Progressivos_Certos_LM,Duelos_Ofensivos_Ganhos_LM,xG_LM,xA_LM,Ações_Defensivas_BemSucedidas_Rank,Duelos_Defensivos_Ganhos_Rank,Passes_Frontais_Certos_Rank,Passes_Progressivos_Certos_Rank,Duelos_Ofensivos_Ganhos_Rank,xG_Rank,xA_Rank,Ações_Defensivas_BemSucedidas_Percentil,Duelos_Defensivos_Ganhos_Percentil,Passes_Frontais_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Duelos_Ofensivos_Ganhos_Percentil,xG_Percentil,xA_Percentil
44,0.236422,0.226049,0.073612,0.29682,0.803731,0.179487,0.16129,0.284279,Wesley,Al Nassr,Corinthians,"LAMF, LW, LWF",LAMF,10,19,0,,23,1638,Brazil,Brazil,right,180,71,no,BRA1,Testing,2024,Extremo Tático,0.284,45,58,22,0.422992,0.473706,0.394296,0.331651,0.433913,0.367374,0.313682,49.0,52,51,30,4,52.0,43.0,15,10,12,48,93,10,25
45,0.249201,0.372008,0.068207,0.247954,0.254889,0.410256,0.580645,0.281912,Gustavo Silva,Vitória,Vitória,"RAMF, RWF",RAMF,10,27,1500000,2026-12-31,12,600,Brazil,Brazil,right,168,63,no,BRA1,Testing,2024,Extremo Tático,0.282,46,58,20,0.422992,0.473706,0.394296,0.331651,0.433913,0.367374,0.313682,48.0,38,52,40,47,22.5,8.5,17,34,10,31,18,61,85
46,0.527157,0.379563,0.091425,0.148685,0.721488,0.179487,0.451613,0.278669,Marinho,Fortaleza,Fortaleza,"RW, RAMF, RWF",RW,10,34,600000,2025-12-31,13,667,Brazil,Brazil,left,169,65,no,BRA1,Testing,2024,Extremo Tático,0.279,47,58,18,0.422992,0.473706,0.394296,0.331651,0.433913,0.367374,0.313682,16.0,37,47,50,8,52.0,13.5,72,36,18,13,86,10,76
47,0.230032,0.149169,0.25145,0.228897,0.338648,1.0,1.0,0.254414,Biel,Bahia,Bahia,"LW, LWF, CF",LW,10,23,4000000,2029-12-31,20,795,Brazil,Brazil,right,170,62,no,BRA1,Testing,2024,Extremo Tático,0.254,48,58,17,0.422992,0.473706,0.394296,0.331651,0.433913,0.367374,0.313682,50.0,57,36,41,40,1.0,1.0,13,1,37,29,31,98,98
48,0.384984,0.553402,0.085716,0.132056,0.331647,0.25641,0.225806,0.251041,David,Vasco da Gama,Vasco da Gama,"LAMF, LW, LWF",LAMF,10,28,2000000,2025-12-31,20,1587,Brazil,Brazil,right,180,71,yes,BRA1,Testing,2024,Extremo Tático,0.251,49,58,15,0.422992,0.473706,0.394296,0.331651,0.433913,0.367374,0.313682,32.5,20,48,51,41,40.0,32.5,43,65,17,12,29,31,43
49,0.298722,0.31015,0.225603,0.215949,0.347858,0.512821,0.0,0.221979,Luiz Fernando,Atlético GO,Atlético GO,"LWF, LW, LAMF",LWF,11,27,1500000,2024-12-31,23,2194,Brazil,Brazil,right,178,65,no,BRA1,Testing,2024,Extremo Tático,0.222,50,58,13,0.422992,0.473706,0.394296,0.331651,0.433913,0.367374,0.313682,42.0,44,40,45,38,10.5,57.5,27,24,31,22,34,81,0
50,0.337061,0.541926,0.054687,0.095513,0.670263,0.205128,0.0,0.211168,H. Mosquera,Red Bull Bragantino,Red Bull Bragantino,"LW, CF, LAMF",LW,10,22,0,,23,1609,Colombia,Colombia,right,175,68,no,BRA1,Testing,2024,Extremo Tático,0.211,51,58,12,0.422992,0.473706,0.394296,0.331651,0.433913,0.367374,0.313682,37.0,21,55,55,10,49.0,57.5,36,63,5,5,82,15,0
51,0.34345,0.45737,0.064605,0.020154,0.53142,0.282051,0.290323,0.202083,Derik Lacerda,Cuiabá,Cuiabá,"LW, CF, RW",LW,10,24,500000,2028-12-31,17,996,Brazil,Brazil,right,191,78,no,BRA1,Testing,2024,Extremo Tático,0.202,52,58,10,0.422992,0.473706,0.394296,0.331651,0.433913,0.367374,0.313682,34.0,29,54,57,17,35.5,27.5,41,50,6,1,70,38,52
52,0.429712,0.444193,0.022065,0.152339,0.383479,0.564103,0.064516,0.196045,Bruno Henrique,Flamengo,Flamengo,"LAMF, LW",LAMF,10,33,1800000,2026-12-31,17,1318,Brazil,Brazil,right,184,77,no,BRA1,Testing,2024,Extremo Tático,0.196,53,58,8,0.422992,0.473706,0.394296,0.331651,0.433913,0.367374,0.313682,23.0,31,56,48,33,8.0,53.5,60,46,3,17,43,86,7
53,0.092652,0.225404,0.210815,0.217268,0.439413,0.333333,0.032258,0.192462,Arthur Gomes,Dinamo Moskva,Cruzeiro,LWF,LWF,11,26,3000000,2029-06-30,21,1399,Brazil,Brazil,right,174,69,no,BRA1,Testing,2024,Extremo Tático,0.192,54,58,6,0.422992,0.473706,0.394296,0.331651,0.433913,0.367374,0.313682,55.0,53,43,44,26,29.5,56.0,5,8,25,24,55,49,3
54,0.263578,0.319889,0.015554,0.155878,0.532229,0.820513,0.258065,0.168795,Moisés,Fortaleza,Fortaleza,"LAMF, LW, LCMF",LAMF,10,28,1500000,2027-12-31,16,693,Brazil,Brazil,right,177,80,no,BRA1,Testing,2024,Extremo Tático,0.169,55,58,5,0.422992,0.473706,0.394296,0.331651,0.433913,0.367374,0.313682,47.0,42,57,47,16,2.0,29.5,18,27,1,18,72,96,49
55,0.313099,0.424149,0.211161,0.0,0.200566,0.282051,0.193548,0.164228,Erick Farias,Juventude,Juventude,"LW, CF, LAMF",LW,10,27,1300000,2026-12-31,25,1839,Brazil,Brazil,right,174,79,no,BRA1,Testing,2024,Extremo Tático,0.164,56,58,3,0.422992,0.473706,0.394296,0.331651,0.433913,0.367374,0.313682,40.0,34,42,58,51,35.5,38.0,31,41,27,0,12,38,34
56,0.297125,0.367921,0.0,0.062716,0.0,0.74359,0.129032,0.017357,Gabriel Veron,Cruzeiro,Cruzeiro,"RWF, AMF",RWF,11,21,7000000,2027-06-30,16,981,Brazil,Brazil,right,176,75,yes,BRA1,Testing,2024,Extremo Tático,0.017,57,58,1,0.422992,0.473706,0.394296,0.331651,0.433913,0.367374,0.313682,44.0,39,58,56,58,3.0,46.5,24,32,0,3,0,94,19
57,0.0,0.0,0.064617,0.114399,0.553124,0.282051,0.290323,0.0,Breno Lopes,Fortaleza,Fortaleza,"LAMF, LW",LAMF,10,28,1800000,2024-12-31,22,1637,Brazil,Brazil,right,178,72,yes,BRA1,Testing,2024,Extremo Tático,0.0,58,58,0,0.422992,0.473706,0.394296,0.331651,0.433913,0.367374,0.313682,58.0,58,53,54,15,35.5,27.5,0,0,8,6,74,38,52
