Unnamed: 0,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Longos_Certos,Passes_Progressivos_Certos,Passes_Laterais_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Duelos_Defensivos_Ganhos_LM,Duelos_Aéreos_Ganhos_LM,Passes_Longos_Certos_LM,Passes_Progressivos_Certos_LM,Passes_Laterais_Certos_LM,Ações_Defensivas_BemSucedidas_Rank,Duelos_Defensivos_Ganhos_Rank,Duelos_Aéreos_Ganhos_Rank,Passes_Longos_Certos_Rank,Passes_Progressivos_Certos_Rank,Passes_Laterais_Certos_Rank,Ações_Defensivas_BemSucedidas_Percentil,Duelos_Defensivos_Ganhos_Percentil,Duelos_Aéreos_Ganhos_Percentil,Passes_Longos_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Passes_Laterais_Certos_Percentil
20,0.38394,0.393451,0.199487,0.337554,0.539055,0.504262,0.432157,J. Piquerez,Palmeiras,Palmeiras,"LB, LCB",LB,1,26,13000000,2026-12-31,17,1563,Uruguay,"Uruguay, Italy",left,183,80,no,BRA1,Testing,2024,Lateral Defensivo,0.432,21,64,67,0.372804,0.433369,0.371285,0.349661,0.442129,0.351861,26.0,36,48,28,21,12,59,43,25,56,67,81
21,0.750314,1.0,0.45554,0.049928,0.113144,0.181125,0.391484,Kaiki,Cruzeiro,Cruzeiro,LB,LB,1,21,0,,12,930,Brazil,Brazil,left,172,69,no,BRA1,Testing,2024,Lateral Defensivo,0.391,22,64,65,0.372804,0.433369,0.371285,0.349661,0.442129,0.351861,4.0,1,18,61,61,57,93,98,71,4,4,10
22,0.562108,0.41808,0.328788,0.284444,0.501837,0.225301,0.389841,A. Bernabéi,Internacional,Internacional,LB,LB,1,23,2000000,2027-05-31,9,917,Argentina,"Argentina, Italy",left,169,65,yes,BRA1,Testing,2024,Lateral Defensivo,0.39,23,64,64,0.372804,0.433369,0.371285,0.349661,0.442129,0.351861,15.0,30,33,37,24,47,76,53,48,42,62,26
23,0.350063,0.37542,0.437661,0.365274,0.543677,0.213887,0.387802,Nathan Mendes,Red Bull Bragantino,Red Bull Bragantino,RB,RB,1,22,1000000,2028-12-31,15,1261,Brazil,Brazil,right,182,79,no,BRA1,Testing,2024,Lateral Defensivo,0.388,24,64,62,0.372804,0.433369,0.371285,0.349661,0.442129,0.351861,32.5,37,20,22,20,50,49,42,68,65,68,21
24,0.400251,0.444373,0.397959,0.22458,0.528438,0.27561,0.386214,Railan,Cuiabá,Cuiabá,RB,RB,1,24,150000,2027-12-31,15,847,Brazil,Brazil,right,185,75,no,BRA1,Testing,2024,Lateral Defensivo,0.386,25,64,60,0.372804,0.433369,0.371285,0.349661,0.442129,0.351861,23.0,26,24,46,22,36,64,59,62,28,65,43
25,0.53074,0.661951,0.501269,0.0,0.115603,0.232568,0.358503,Wesley,Flamengo,Flamengo,RB,RB,1,20,0,,19,1606,Brazil,Brazil,right,178,73,no,BRA1,Testing,2024,Lateral Defensivo,0.359,26,64,59,0.372804,0.433369,0.371285,0.349661,0.442129,0.351861,16.0,9,16,64,60,46,75,85,75,0,6,28
26,0.363864,0.487657,0.117245,0.417174,0.591057,0.356082,0.346942,Reinaldo,Grêmio,Grêmio,"LB, LWB",LB,1,34,500000,2024-12-31,15,1435,Brazil,Brazil,left,178,79,no,BRA1,Testing,2024,Lateral Defensivo,0.347,27,64,57,0.372804,0.433369,0.371285,0.349661,0.442129,0.351861,30.0,22,58,19,16,25,53,65,9,70,75,60
27,0.569636,0.66307,0.234565,0.34401,0.361563,0.253165,0.345949,Paulo Henrique,Vasco da Gama,Vasco da Gama,RB,RB,1,28,1000000,2027-12-31,23,1982,Brazil,Brazil,right,175,74,no,BRA1,Testing,2024,Lateral Defensivo,0.346,28,64,56,0.372804,0.433369,0.371285,0.349661,0.442129,0.351861,13.0,8,45,27,43,42,79,87,29,57,32,34
28,0.218319,0.29425,0.637037,0.410353,0.469354,0.215173,0.340387,Guilherme Romão,Atlético GO,Atlético GO,LB,LB,1,26,400000,2028-12-31,23,2295,Brazil,Brazil,left,176,75,no,BRA1,Testing,2024,Lateral Defensivo,0.34,29,64,54,0.372804,0.433369,0.371285,0.349661,0.442129,0.351861,48.0,49,10,21,28,49,25,23,84,67,56,23
29,0.387704,0.331337,0.275337,0.566038,0.466615,0.197579,0.333263,Felipe Jonatan,Fortaleza,Fortaleza,LB,LB,1,26,2000000,2027-04-30,19,1579,Brazil,Brazil,left,176,77,no,BRA1,Testing,2024,Lateral Defensivo,0.333,30,64,53,0.372804,0.433369,0.371285,0.349661,0.442129,0.351861,25.0,45,42,9,29,54,60,29,34,85,54,15
