Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Passes_Longos_Certos,Passes_Progressivos_Certos,Ações_Ofensivas_BemSucedidas,Duelos_Ofensivos_Ganhos,Pisadas_Área,Dribles_BemSucedidos,Corridas_Progressivas,Acelerações,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Deep_Completions,Deep_Completed_Crosses,Passes_ÁreaPênalti_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
13,S. Arias,Bahia,Bahia,RB,RB,1,32,2500000,2025-12-31,19,1829,Colombia,Colombia,right,177,70,no,7.44,1.302,9.007311,2.39,0.991055,1.15,0.522264,1.46,0.26,0.13,0.99,3.90164,0.78,1.56,2.134266,BRA1,Testing,2024,0.9344316071142604,0.8469024858285864,0.8906670464714233
14,Diogo Barbosa,Fluminense,Fluminense,LB,LB,1,32,600000,2024-12-31,20,1599,Brazil,Brazil,left,179,70,no,5.91,1.35,4.89984,1.91,2.422446,0.56,1.06884,2.59,1.01,0.09,0.73,4.05009,0.51,0.79,1.011154,BRA1,Testing,2024,0.2655198746961724,0.257217222654495,0.2613685486753337
15,Jonathan,Criciúma,Criciúma,RB,RB,1,32,300000,2024-12-31,15,665,Brazil,Brazil,right,178,62,no,10.29,2.16476,6.086346,2.57,2.031564,0.27,1.218,1.89,0.41,0.11,1.08,3.792201,0.27,1.08,1.62357,BRA1,Testing,2024,0.6510311310113793,0.6148665531588795,0.6329488420851294
16,M. Trauco,Criciúma,Criciúma,LB,LB,1,32,1300000,2024-12-31,20,1460,Peru,Peru,left,175,70,no,8.08,4.872168,8.195408,0.86,0.617192,0.18,0.37,0.43,0.06,0.04,0.49,5.36616,0.68,0.37,0.923241,BRA1,Testing,2024,0.6965709435622198,0.6005361678070933,0.6485535556846564
17,Renê,Internacional,Internacional,LB,LB,1,32,900000,2024-12-31,14,1076,Brazil,Brazil,left,174,72,no,9.54,4.10061,8.366864,1.42,1.586992,0.75,0.41875,3.01,0.67,0.05,0.59,7.35842,0.84,0.42,1.423101,BRA1,Testing,2024,0.7903172613454981,0.7787227784857541,0.7845200199156259
18,Mayke,Palmeiras,Palmeiras,RB,RB,1,31,3000000,2025-12-31,19,1091,Brazil,Brazil,right,179,68,no,10.06,1.73397,6.595704,1.73,1.8952,1.4,0.576195,1.24,0.08,0.07,1.32,4.535499,0.66,0.99,1.321216,BRA1,Testing,2024,0.5777315720830801,0.5797694935380147,0.5787505328105473
19,Gilberto,Bahia,Bahia,RB,RB,1,31,3000000,2026-06-30,14,1120,Brazil,Brazil,right,181,68,no,7.07,1.204366,6.913419999999999,3.38,3.536232,1.45,1.846845,2.73,0.48,0.06,0.64,3.454512,1.13,1.29,2.1719,BRA1,Testing,2024,0.7435117478942176,0.714776252166825,0.7291440000305213
20,G. Varela,Flamengo,Flamengo,RB,RB,1,31,1700000,2025-12-31,12,843,Uruguay,"Uruguay, Italy",right,174,70,no,5.77,1.39,4.16,2.24,2.350964,0.96,1.17328,1.28,0.11,0.06,0.53,2.24471,0.21,0.85,0.962598,BRA1,Testing,2024,0.1419797930573889,0.09998422128801454,0.1209820071727017
21,Tinga,Fortaleza,Fortaleza,RB,RB,1,31,1200000,2026-04-30,25,2119,Brazil,Brazil,right,179,78,no,8.2,3.31251,7.601766,1.83,1.232517,0.85,0.722449,1.06,0.38,0.06,0.76,4.249829999999999,0.38,0.76,1.19,BRA1,Testing,2024,0.7331282823679949,0.6449480337708979,0.6890381580694463
22,Gustavo Scarpa,Atlético Mineiro,Atlético Mineiro,"RWB, LWB, RAMF",RWB,1,30,8000000,2027-12-31,27,2107,Brazil,"Brazil, Italy",left,176,74,no,5.08,4.01606,7.775625,5.17,4.183586,1.37,2.346194,2.22,0.26,0.16,1.45,3.841425,1.28,1.79,2.689555,BRA1,Testing,2024,1.0,1.0,1.0
