Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Duelos_Ofensivos_Ganhos,Pisadas_Área,Dribles_BemSucedidos,Acelerações,Passes_Longos_Recebidos,xG,Finalizações_NoAlvo,Conversão_Gols,xA,Assistência_Finalização,Deep_Completions,Deep_Completed_Crosses,Passes_Chave,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
10,Wanderson,Internacional,Internacional,"LAMF, LW",LAMF,10,29,8000000,2025-12-31,12,838,Brazil,"Brazil, Belgium",right,176,74,no,3.86478,1.93,2.794957000000001,0.43,0.97,0.15,0.4307799999999999,7.692,0.16,1.18,0.54,1.29,0.64,BRA1,Testing,2024,0.5869409949245002,0.5647836101975142,0.5786091774323198
11,Lázaro,Palmeiras,Palmeiras,"LAMF, LWF, LWB",LAMF,10,22,3500000,2028-06-30,15,838,Brazil,Brazil,right,181,69,yes,3.9729,2.26,2.04,0.11,1.72,0.24,0.9686359999999999,9.524,0.1,1.07,1.4,0.32,0.32,BRA1,Testing,2024,0.5489195029747325,0.5793074125585196,0.5668042904098067
12,Wellington Rato,São Paulo,São Paulo,"RAMF, RW",RAMF,10,32,1200000,2026-12-31,16,885,Brazil,Brazil,left,172,77,no,2.542206,1.73,1.118252,0.1,1.42,0.13,0.405,0.0,0.18,1.63,0.92,0.61,0.61,BRA1,Testing,2024,0.5107252736193089,0.4808853059790094,0.4981702910947056
13,Marcelinho,Juventude,Juventude,"LAMF, RW",LAMF,10,21,400000,2024-12-31,16,909,Brazil,Brazil,right,165,69,yes,4.75306,1.58,2.475788,0.59,1.29,0.12,0.7932539999999999,4.167,0.1,1.09,0.59,0.79,0.3,BRA1,Testing,2024,0.413196035757439,0.3860621655517623,0.4015353395758696
14,Rodrigo Nestor,São Paulo,São Paulo,"LAMF, LCMF, LW",LAMF,10,24,9000000,2028-06-30,18,913,Brazil,Brazil,right,175,65,no,1.872936,1.28,0.592872,0.49,0.3,0.09,0.59,0.0,0.08,0.69,0.79,0.99,0.49,BRA1,Testing,2024,0.3697805119980949,0.2849228761252716,0.3289131682865121
15,Keno,Fluminense,Fluminense,"LAMF, LW",LAMF,10,35,800000,2025-12-31,15,934,Brazil,Brazil,right,178,66,no,4.915602,2.99,3.46885,0.1,1.64,0.12,0.480594,5.556,0.1,1.25,1.16,0.96,0.19,BRA1,Testing,2024,0.4040888727930969,0.4356490833886157,0.4218717616382986
16,C. Pavón,Grêmio,Grêmio,"RW, RAMF",RW,10,28,4500000,2026-12-31,14,940,Argentina,"Argentina, Italy",right,174,70,no,3.35153,3.35,2.487342,0.48,4.02,0.2,0.767196,4.545,0.17,1.05,1.24,0.67,0.57,BRA1,Testing,2024,0.7593988755901109,0.6473296966692015,0.7067193480504589
17,Y. Soteldo,Grêmio,Grêmio,"LWF, LW, LAMF",LWF,11,27,7000000,2027-06-30,12,942,Venezuela,Venezuela,left,160,54,no,7.452162,4.49,4.872548,1.05,1.34,0.18,0.66774,23.077,0.31,2.1,1.62,1.53,1.05,BRA1,Testing,2024,0.9260838124093529,0.8748458023813455,0.9047600428030766
18,Nikão,Athletico Paranaense,Athletico Paranaense,"RAMF, RW",RAMF,10,32,1000000,2024-12-31,15,948,Brazil,Brazil,left,174,73,yes,3.796799999999999,3.13,1.235038,0.09,3.42,0.2,1.139867,5.882,0.1,1.42,1.52,0.95,0.57,BRA1,Testing,2024,0.6504205973902802,0.6404165200630456,0.6484972183516472
19,Ferreira,São Paulo,São Paulo,"LAMF, LW",LAMF,10,26,5000000,2027-12-31,19,958,Brazil,Brazil,right,176,65,no,8.55105,3.57,5.261696000000001,1.5,1.97,0.21,0.84375,16.667,0.19,2.07,1.78,1.03,0.66,BRA1,Testing,2024,0.8885511677233214,0.8409486951461244,0.8688748061592246
20,Marquinhos Gabriel,Criciúma,Criciúma,"RW, AMF, LW",RW,10,34,400000,2024-12-31,19,959,Brazil,Brazil,left,174,70,no,3.84772,1.41,1.408149,0.28,1.69,0.08,0.376047,0.0,0.18,1.22,0.47,0.94,0.56,BRA1,Testing,2024,0.4589094422023291,0.4188042180917556,0.4409501861341831
21,A. Canobbio,Athletico Paranaense,Athletico Paranaense,"LAMF, LW, CF",LAMF,10,25,5000000,2026-12-31,14,969,Uruguay,"Uruguay, Italy",right,175,69,no,3.529592,3.9,2.509624,0.37,2.32,0.26,1.205,15.385,0.14,1.21,1.67,0.46,0.37,BRA1,Testing,2024,0.684209854618283,0.7563807964767196,0.7237311488699711
22,Gabriel Veron,Cruzeiro,Cruzeiro,"RWF, AMF",RWF,11,21,7000000,2027-06-30,16,981,Brazil,Brazil,right,176,75,yes,1.101471,2.39,0.55125,0.18,1.38,0.32,0.6416299999999999,33.333,0.08,0.73,0.73,0.18,0.18,BRA1,Testing,2024,0.553051135522264,0.5381580476535103,0.5482071365637265
23,Derik Lacerda,Cuiabá,Cuiabá,"LW, CF, RW",LW,10,24,500000,2028-12-31,17,996,Brazil,Brazil,right,191,78,no,5.060326,2.53,2.531725,1.08,0.81,0.14,0.3627120000000001,13.333,0.13,0.72,0.81,0.36,0.36,BRA1,Testing,2024,0.4110080660897102,0.4347128201307173,0.4248774960065153
24,Vitinho,Red Bull Bragantino,Red Bull Bragantino,"LAMF, LW, LWF",LAMF,10,25,7000000,2026-06-30,18,1039,Brazil,Brazil,right,181,75,no,3.985509,2.86,3.031755,0.17,2.17,0.13,0.9518169999999999,8.696,0.06,0.95,0.95,1.3,0.35,BRA1,Testing,2024,0.493004428581179,0.4875212160693541,0.4926013859384687
25,T. Cuello,Athletico Paranaense,Athletico Paranaense,"LAMF, RW, LW",LAMF,10,24,3000000,2025-12-31,19,1051,Argentina,Argentina,right,178,64,no,6.677905000000001,2.83,5.05408,0.6,2.14,0.13,0.9429599999999999,3.571,0.24,1.8,1.28,1.54,1.03,BRA1,Testing,2024,0.8278351420529054,0.7750482250995849,0.8052645766735144
26,Matheusinho,Criciúma,Criciúma,"RW, LCMF, LWF",RW,10,26,1300000,2024-12-31,17,1060,Brazil,Brazil,right,164,58,no,4.07472,2.12,1.530034,0.34,1.19,0.28,0.5950340000000001,22.727,0.12,1.44,1.44,1.53,0.59,BRA1,Testing,2024,0.7257362283677804,0.7487940735801568,0.740781920708154
