Atleta,Equipe,Código_Posição_Wyscout,Pé,Liga,Versão_Temporada,Posição,Posição2
Gabriel Inocêncio,Juventude,1,right,BRA1,2024,Lateral Direito,Lateral
Wanderson,Internacional,10,right,BRA1,2024,Extremo,Extremo
Júnior Santos,Botafogo,12,right,BRA1,2024,Atacante,Atacante
Fernando Sobral,Cuiabá,8,right,BRA1,2024,Segundo Volante,Segundo Volante
Rezende,Bahia,7,left,BRA1,2024,Primeiro Volante,Primeiro Volante
Marcelo Hermes,Criciúma,1,left,BRA1,2024,Lateral Esquerdo,Lateral
Ademir,Bahia,11,left,BRA1,2024,Extremo,Extremo
Zé Welison,Fortaleza,8,right,BRA1,2024,Segundo Volante,Segundo Volante
A. Barboza,Botafogo,4,left,BRA1,2024,Zagueiro,Zagueiro
Clayson,Cuiabá,10,right,BRA1,2024,Extremo,Extremo
Léo Jardim,Vasco da Gama,0,right,BRA1,2024,Goleiro,Goleiro
Marlon Freitas,Botafogo,7,right,BRA1,2024,Primeiro Volante,Primeiro Volante
Bruno Tubarão,Atlético GO,1,right,BRA1,2024,Lateral Direito,Lateral
William,Cruzeiro,1,right,BRA1,2024,Lateral Direito,Lateral
Allano,Criciúma,10,left,BRA1,2024,Extremo,Extremo
L. Godoy,Athletico Paranaense,1,right,BRA1,2024,Lateral Direito,Lateral
Igor Rabello,Atlético Mineiro,4,right,BRA1,2024,Zagueiro,Zagueiro
Lucas Evangelista,Red Bull Bragantino,8,right,BRA1,2024,Segundo Volante,Segundo Volante
Rony,Palmeiras,12,right,BRA1,2024,Atacante,Atacante
Thaciano,Bahia,12,right,BRA1,2024,Atacante,Atacante
Alex Santana,Corinthians,8,right,BRA1,2024,Segundo Volante,Segundo Volante
Raphael Veiga,Palmeiras,9,left,BRA1,2024,Meia,Meia
Rodrigo Sam,Juventude,4,right,BRA1,2024,Zagueiro,Zagueiro
A. Rossi,Flamengo,0,right,BRA1,2024,Goleiro,Goleiro
R. Borré,Internacional,12,right,BRA1,2024,Atacante,Atacante
Cauly,Bahia,12,right,BRA1,2024,Atacante,Atacante
Pedro Henrique,Red Bull Bragantino,4,right,BRA1,2024,Zagueiro,Zagueiro
Caíque,Juventude,7,right,BRA1,2024,Primeiro Volante,Primeiro Volante
T. Cardona,Fortaleza,4,left,BRA1,2024,Zagueiro,Zagueiro
David,Vasco da Gama,10,right,BRA1,2024,Extremo,Extremo
Rafael Ratão,Bahia,12,right,BRA1,2024,Atacante,Atacante
Barreto,Criciúma,8,right,BRA1,2024,Segundo Volante,Segundo Volante
Léo Ortiz,Flamengo,4,right,BRA1,2024,Zagueiro,Zagueiro
Léo,Vasco da Gama,4,left,BRA1,2024,Zagueiro,Zagueiro
Filipe Machado,Vitória,7,right,BRA1,2024,Primeiro Volante,Primeiro Volante
C. Pavón,Grêmio,10,right,BRA1,2024,Extremo,Extremo
Breno Lopes,Fortaleza,10,right,BRA1,2024,Extremo,Extremo
Léo Pereira,Flamengo,4,left,BRA1,2024,Zagueiro,Zagueiro
T. Pochettino,Fortaleza,9,right,BRA1,2024,Meia,Meia
Fabricio Bruno,Flamengo,4,right,BRA1,2024,Zagueiro,Zagueiro
John Victor,Botafogo,0,right,BRA1,2024,Goleiro,Goleiro
Renato Kayzer,Fortaleza,12,right,BRA1,2024,Atacante,Atacante
Lucas Mineiro,Cuiabá,7,left,BRA1,2024,Primeiro Volante,Primeiro Volante
Danilo Barbosa,Botafogo,7,right,BRA1,2024,Primeiro Volante,Primeiro Volante
Lucas Kal,Atlético GO,7,right,BRA1,2024,Primeiro Volante,Primeiro Volante
Éverton,Flamengo,10,right,BRA1,2024,Extremo,Extremo
Marcos Felipe,Bahia,0,right,BRA1,2024,Goleiro,Goleiro
Dodi,Grêmio,7,right,BRA1,2024,Primeiro Volante,Primeiro Volante
F. Bustos,Internacional,1,right,BRA1,2024,Lateral Direito,Lateral
B. Kuščević,Fortaleza,4,right,BRA1,2024,Zagueiro,Zagueiro
Matheus Pereira,Cruzeiro,12,left,BRA1,2024,Atacante,Atacante
Luiz Araújo,Flamengo,10,left,BRA1,2024,Extremo,Extremo
Matheus Rossetto,Fortaleza,7,right,BRA1,2024,Primeiro Volante,Primeiro Volante
Lima,Fluminense,7,right,BRA1,2024,Primeiro Volante,Primeiro Volante
Charles,Corinthians,8,right,BRA1,2024,Segundo Volante,Segundo Volante
Raul,Red Bull Bragantino,7,right,BRA1,2024,Primeiro Volante,Primeiro Volante
Paulo Henrique,Vasco da Gama,1,right,BRA1,2024,Lateral Direito,Lateral
F. Cristaldo,Grêmio,12,right,BRA1,2024,Atacante,Atacante
Ronaldo,Atlético GO,0,right,BRA1,2024,Goleiro,Goleiro
Gabriel Barbosa,Flamengo,12,left,BRA1,2024,Atacante,Atacante
Moisés,Fortaleza,10,right,BRA1,2024,Extremo,Extremo
R. Carrillo,Juventude,12,right,BRA1,2024,Atacante,Atacante
M. Araújo,São Paulo,10,left,BRA1,2024,Extremo,Extremo
F. Carballo,Grêmio,7,right,BRA1,2024,Primeiro Volante,Primeiro Volante
Carlos Eduardo,Vitória,10,right,BRA1,2024,Extremo,Extremo
A. Franco,São Paulo,4,right,BRA1,2024,Zagueiro,Zagueiro
Luiz Fernando,Atlético GO,11,right,BRA1,2024,Extremo,Extremo
Ronaldo,Juventude,7,right,BRA1,2024,Primeiro Volante,Primeiro Volante
Sabino,São Paulo,4,left,BRA1,2024,Zagueiro,Zagueiro
Pedro Raul,Corinthians,12,right,BRA1,2024,Atacante,Atacante
J. Savarino,Botafogo,9,right,BRA1,2024,Meia,Meia
João Pedro,Grêmio,1,right,BRA1,2024,Lateral Direito,Lateral
L. Di Yorio,Athletico Paranaense,12,right,BRA1,2024,Atacante,Atacante
P. Galdames,Vasco da Gama,8,right,BRA1,2024,Segundo Volante,Segundo Volante
Raniele,Corinthians,7,right,BRA1,2024,Primeiro Volante,Primeiro Volante
Erick Farias,Juventude,10,right,BRA1,2024,Extremo,Extremo
F. Torres,Corinthians,4,right,BRA1,2024,Zagueiro,Zagueiro
Willean Lepo,Vitória,1,right,BRA1,2024,Lateral Direito,Lateral
Lucas Cunha,Red Bull Bragantino,4,right,BRA1,2024,Zagueiro,Zagueiro
M. Villasanti,Grêmio,8,right,BRA1,2024,Segundo Volante,Segundo Volante
Luís Oyama,Juventude,7,right,BRA1,2024,Primeiro Volante,Primeiro Volante
Lyanco,Atlético Mineiro,4,right,BRA1,2024,Zagueiro,Zagueiro
Carlinhos,Flamengo,12,right,BRA1,2024,Atacante,Atacante
Zé Ivaldo,Cruzeiro,4,right,BRA1,2024,Zagueiro,Zagueiro
Allan,Flamengo,7,left,BRA1,2024,Primeiro Volante,Primeiro Volante
Pedro Augusto,Fortaleza,7,right,BRA1,2024,Primeiro Volante,Primeiro Volante
Kanu,Bahia,4,right,BRA1,2024,Zagueiro,Zagueiro
J. Rodríguez,Vasco da Gama,1,right,BRA1,2024,Lateral Direito,Lateral
Everton Galdino,Grêmio,12,left,BRA1,2024,Atacante,Atacante
Thiago Maia,Internacional,7,left,BRA1,2024,Primeiro Volante,Primeiro Volante
Iago,Bahia,1,left,BRA1,2024,Lateral Esquerdo,Lateral
Murilo,Palmeiras,4,right,BRA1,2024,Zagueiro,Zagueiro
Bruno Tabata,Internacional,9,left,BRA1,2024,Meia,Meia
Igor Vinícius,São Paulo,1,right,BRA1,2024,Lateral Direito,Lateral
Adriano Martins,Atlético GO,4,right,BRA1,2024,Zagueiro,Zagueiro
Gabriel Taliari,Juventude,12,right,BRA1,2024,Atacante,Atacante
Guilherme Arana,Atlético Mineiro,1,left,BRA1,2024,Lateral Esquerdo,Lateral
André Luis,Cuiabá,10,left,BRA1,2024,Extremo,Extremo
Shaylon,Atlético GO,11,left,BRA1,2024,Extremo,Extremo
Gerson,Flamengo,10,left,BRA1,2024,Extremo,Extremo
Marlon,Cruzeiro,1,left,BRA1,2024,Lateral Esquerdo,Lateral
N. de la Cruz,Flamengo,7,right,BRA1,2024,Primeiro Volante,Primeiro Volante
André Silva,São Paulo,12,left,BRA1,2024,Atacante,Atacante
Edson Carioca,Juventude,10,right,BRA1,2024,Extremo,Extremo
Ronald,Criciúma,8,right,BRA1,2024,Segundo Volante,Segundo Volante
Ayrton Lucas,Flamengo,1,left,BRA1,2024,Lateral Esquerdo,Lateral
Pedro,Flamengo,12,right,BRA1,2024,Atacante,Atacante
Y. Soteldo,Grêmio,11,left,BRA1,2024,Extremo,Extremo
Juninho Capixaba,Red Bull Bragantino,1,left,BRA1,2024,Lateral Esquerdo,Lateral
Cleiton,Red Bull Bragantino,0,right,BRA1,2024,Goleiro,Goleiro
Hugo,Corinthians,1,left,BRA1,2024,Lateral Esquerdo,Lateral
Gustavo Silva,Vitória,10,right,BRA1,2024,Extremo,Extremo
Lucas Fernandes,Cuiabá,9,right,BRA1,2024,Meia,Meia
J. Arias,Fluminense,10,right,BRA1,2024,Extremo,Extremo
Guilherme Romão,Atlético GO,1,left,BRA1,2024,Lateral Esquerdo,Lateral
A. Rogel,Internacional,4,right,BRA1,2024,Zagueiro,Zagueiro
Matheuzinho,Vitória,10,right,BRA1,2024,Extremo,Extremo
Erick,Athletico Paranaense,8,right,BRA1,2024,Segundo Volante,Segundo Volante
Eduardo Santos,Red Bull Bragantino,4,right,BRA1,2024,Zagueiro,Zagueiro
Derek,Atlético GO,12,left,BRA1,2024,Atacante,Atacante
Erick,São Paulo,10,left,BRA1,2024,Extremo,Extremo
Matheus Henrique,Cruzeiro,8,right,BRA1,2024,Segundo Volante,Segundo Volante
K. Serna,Fluminense,10,right,BRA1,2024,Extremo,Extremo
Ferreira,São Paulo,10,right,BRA1,2024,Extremo,Extremo
Hugo Moura,Vasco da Gama,7,right,BRA1,2024,Primeiro Volante,Primeiro Volante
R. Garro,Corinthians,9,left,BRA1,2024,Meia,Meia
Pepê,Grêmio,8,right,BRA1,2024,Segundo Volante,Segundo Volante
Zé Marcos,Juventude,4,left,BRA1,2024,Zagueiro,Zagueiro
Matheusinho,Criciúma,9,right,BRA1,2024,Meia,Meia
Felipe Jonatan,Fortaleza,1,left,BRA1,2024,Lateral Esquerdo,Lateral
Anderson,Cruzeiro,0,left,BRA1,2024,Goleiro,Goleiro
João Lucas,Juventude,1,right,BRA1,2024,Lateral Direito,Lateral
M. Zaracho,Atlético Mineiro,8,right,BRA1,2024,Segundo Volante,Segundo Volante
Danilo Boza,Juventude,4,right,BRA1,2024,Zagueiro,Zagueiro
Caio Paulista,Palmeiras,1,left,BRA1,2024,Lateral Esquerdo,Lateral
L. Díaz,Cruzeiro,11,right,BRA1,2024,Extremo,Extremo
Jean Lucas,Bahia,8,right,BRA1,2024,Segundo Volante,Segundo Volante
Matheus Fernandes,Red Bull Bragantino,7,right,BRA1,2024,Primeiro Volante,Primeiro Volante
Arthur Gomes,Cruzeiro,11,right,BRA1,2024,Extremo,Extremo
João Victor,Vasco da Gama,4,right,BRA1,2024,Zagueiro,Zagueiro
Lucas Arcanjo,Vitória,0,right,BRA1,2024,Goleiro,Goleiro
A. Franco,Atlético Mineiro,8,right,BRA1,2024,Segundo Volante,Segundo Volante
J. Piquerez,Palmeiras,1,left,BRA1,2024,Lateral Esquerdo,Lateral
A. Canobbio,Athletico Paranaense,10,right,BRA1,2024,Extremo,Extremo
Carlos Miguel,Corinthians,0,left,BRA1,2024,Goleiro,Goleiro
Baralhas,Atlético GO,8,right,BRA1,2024,Segundo Volante,Segundo Volante
Lincoln,Red Bull Bragantino,9,left,BRA1,2024,Meia,Meia
N. Ferraresi,São Paulo,4,right,BRA1,2024,Zagueiro,Zagueiro
Rhaldney,Atlético GO,8,right,BRA1,2024,Segundo Volante,Segundo Volante
Caio Vinícius,Vitória,4,right,BRA1,2024,Zagueiro,Zagueiro
Zé Gabriel,Vasco da Gama,7,right,BRA1,2024,Primeiro Volante,Primeiro Volante
Hugo Souza,Corinthians,0,right,BRA1,2024,Goleiro,Goleiro
Caio Alexandre,Bahia,7,right,BRA1,2024,Primeiro Volante,Primeiro Volante
Janderson,Atlético GO,11,right,BRA1,2024,Extremo,Extremo
Matheus Mendes,Atlético Mineiro,0,right,BRA1,2024,Goleiro,Goleiro
Igor Gomes,Atlético Mineiro,11,right,BRA1,2024,Extremo,Extremo
Wesley,Internacional,10,right,BRA1,2024,Extremo,Extremo
Vitinho,Red Bull Bragantino,10,right,BRA1,2024,Extremo,Extremo
Bruno Fuchs,Atlético Mineiro,4,right,BRA1,2024,Zagueiro,Zagueiro
Matheus Alexandre,Cuiabá,1,right,BRA1,2024,Lateral Direito,Lateral
Roni,Atlético GO,7,right,BRA1,2024,Primeiro Volante,Primeiro Volante
Cacá,Corinthians,4,right,BRA1,2024,Zagueiro,Zagueiro
Matheus Bidu,Corinthians,1,left,BRA1,2024,Lateral Esquerdo,Lateral
Janderson,Vitória,12,right,BRA1,2024,Atacante,Atacante
A. Moreno,Palmeiras,7,right,BRA1,2024,Primeiro Volante,Primeiro Volante
Luan Silva,Vitória,7,right,BRA1,2024,Primeiro Volante,Primeiro Volante
Bento,Athletico Paranaense,0,right,BRA1,2024,Goleiro,Goleiro
Diego Costa,São Paulo,4,right,BRA1,2024,Zagueiro,Zagueiro
Wagner Leonardo,Vitória,4,left,BRA1,2024,Zagueiro,Zagueiro
I. Pitta,Cuiabá,12,right,BRA1,2024,Atacante,Atacante
Luciano Juba,Bahia,1,left,BRA1,2024,Lateral Esquerdo,Lateral
Fernando,Athletico Paranaense,1,left,BRA1,2024,Lateral Esquerdo,Lateral
Derik Lacerda,Cuiabá,10,right,BRA1,2024,Extremo,Extremo
Zé Hugo,Vitória,10,right,BRA1,2024,Extremo,Extremo
Alix Vinicius,Atlético GO,4,right,BRA1,2024,Zagueiro,Zagueiro
Du Queiroz,Grêmio,7,right,BRA1,2024,Primeiro Volante,Primeiro Volante
Alerrandro,Vitória,12,right,BRA1,2024,Atacante,Atacante
I. Machuca,Fortaleza,12,right,BRA1,2024,Atacante,Atacante
Vitão,Internacional,4,right,BRA1,2024,Zagueiro,Zagueiro
Rômulo,Internacional,8,right,BRA1,2024,Segundo Volante,Segundo Volante
T. Cuello,Athletico Paranaense,10,right,BRA1,2024,Extremo,Extremo
J. Hurtado,Atlético GO,12,right,BRA1,2024,Atacante,Atacante
Railan,Cuiabá,1,right,BRA1,2024,Lateral Direito,Lateral
Newton,Criciúma,8,right,BRA1,2024,Segundo Volante,Segundo Volante
F. Vera,Atlético Mineiro,8,right,BRA1,2024,Segundo Volante,Segundo Volante
Helinho,Red Bull Bragantino,10,left,BRA1,2024,Extremo,Extremo
Lucas Halter,Botafogo,4,right,BRA1,2024,Zagueiro,Zagueiro
R. Ríos,Palmeiras,7,right,BRA1,2024,Primeiro Volante,Primeiro Volante
Marcos Antônio,São Paulo,7,right,BRA1,2024,Primeiro Volante,Primeiro Volante
João Marcelo,Cruzeiro,4,right,BRA1,2024,Zagueiro,Zagueiro
Lucas Esteves,Vitória,1,left,BRA1,2024,Lateral Esquerdo,Lateral
Pedro Rangel,Atlético GO,0,right,BRA1,2024,Goleiro,Goleiro
Paulinho,Atlético Mineiro,12,right,BRA1,2024,Atacante,Atacante
Rodrigo Nestor,São Paulo,10,right,BRA1,2024,Extremo,Extremo
Eric Ramires,Red Bull Bragantino,8,right,BRA1,2024,Segundo Volante,Segundo Volante
Á. Barreal,Cruzeiro,8,left,BRA1,2024,Segundo Volante,Segundo Volante
