Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Finalizações_Bloqueadas,Interceptações_Ajustadas_a_Posse,Passes_Laterais_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
58,Rodrigo,Criciúma,Criciúma,RCB,RCB,4,37,150000,2024-12-31,20,2038,Brazil,Brazil,right,187,80,no,9.54,3.180159,3.000941999999999,0.62,7.54,13.862667,BRA1,Testing,2024,0.853656354943382,0.7643987072381448,0.8090275310907635
59,Zé Ivaldo,Cruzeiro,Cruzeiro,RCB,RCB,4,27,3500000,2026-12-31,21,2072,Brazil,Brazil,right,185,78,no,7.34,2.9509,2.300828,0.56,5.66,16.460108,BRA1,Testing,2024,0.4064234826250792,0.3566901331091065,0.3815568078670929
60,R. Arboleda,São Paulo,São Paulo,"RCB, CB",RCB,4,32,1200000,2027-12-31,22,2116,Ecuador,Ecuador,right,187,83,no,5.83,1.955119,2.50934,0.3,5.64,27.055525,BRA1,Testing,2024,0.2383477645794665,0.2345979343856049,0.2364728494825357
61,João Marcelo,Cruzeiro,Cruzeiro,"LCB, RCB",LCB,4,24,1500000,2028-12-31,22,2122,Brazil,Brazil,right,190,84,no,7.63,2.965776,2.883725,0.81,6.44,22.562491,BRA1,Testing,2024,0.5977915441439883,0.5640216303566976,0.580906587250343
62,Kaique Rocha,Athletico Paranaense,Athletico Paranaense,RCB,RCB,4,23,3000000,2026-12-31,23,2187,Brazil,Brazil,right,195,87,no,6.91,2.469556,2.385621,0.53,5.83,17.695861,BRA1,Testing,2024,0.3160950559158679,0.3199997833387299,0.3180474196272989
63,Adriano Martins,Atlético GO,Atlético GO,RCB,RCB,4,27,500000,2024-12-31,23,2293,Brazil,Brazil,right,193,87,no,8.01,2.827896,2.15875,0.63,6.37,13.616856,BRA1,Testing,2024,0.4802861401402632,0.4278484819045151,0.4540673110223892
64,Bastos,Botafogo,Botafogo,"LCB, RCB",LCB,4,33,800000,2024-12-31,24,2308,Angola,Angola,right,180,77,no,6.67,2.727452,1.7532,0.43,5.27,19.462762,BRA1,Testing,2024,0.278540739800515,0.2171544703462778,0.2478476050733965
65,Gabriel Xavier,Bahia,Bahia,RCB,RCB,4,23,2500000,2027-12-31,23,2313,Brazil,Brazil,right,190,85,no,9.49,3.109779,3.893528,0.66,8.16,21.246705,BRA1,Testing,2024,0.9124375555913447,0.8472018976799709,0.8798197266356579
66,Marllon,Cuiabá,Cuiabá,"RCB, CB",RCB,4,32,500000,2024-12-31,23,2338,Brazil,Brazil,right,186,75,no,8.66,3.965422999999999,2.387752,0.65,5.64,15.785154,BRA1,Testing,2024,0.6181514676127264,0.5650579904716688,0.5916047290421976
67,Wagner Leonardo,Vitória,Vitória,LCB,LCB,4,25,1500000,2025-12-31,25,2444,Brazil,Brazil,left,186,76,no,7.03,1.6545,2.431,0.74,6.12,19.149295,BRA1,Testing,2024,0.3338389448331829,0.3622563860864077,0.3480476654597953
